输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,42.5452,973.0916,973.2845,973.306,972.2341,22.9985,23.1718,26.0304,22.7099
2048.0,1200.0,4,146.1715,3817.9159,3818.442,3818.5005,3528.1561,24.7396,24.9673,26.1001,24.2034
2048.0,1200.0,8,258.7824,7599.9834,7601.9289,7602.2045,7424.1252,25.1433,25.4003,27.3419,24.6032
2048.0,1200.0,16,413.1497,15149.7783,15152.1132,15152.4378,15042.9368,26.9168,27.3665,31.896,26.1302
2048.0,1200.0,32,531.4341,30416.1919,30425.0369,30425.5794,29182.9387,36.4198,37.1961,270.3277,34.8985
4096.0,1200.0,1,39.362,1961.0705,1961.4836,1961.5295,1959.2345,24.0623,24.2392,25.3991,23.7896
4096.0,1200.0,4,121.2746,7713.9511,7714.5751,7714.6445,7372.2311,27.115,27.4345,29.1249,26.5851
4096.0,1200.0,8,201.8088,15326.6392,15327.3009,15327.3859,15130.9671,27.4341,27.6607,31.2606,26.8941
4096.0,1200.0,16,291.5096,30623.0489,30631.0132,30634.3361,28955.5592,30.1097,30.5255,37.4786,29.3803
4096.0,1200.0,32,344.1129,62697.2074,63349.3624,63349.6479,48368.2928,42.7695,43.6365,57.6562,41.1234
8192.0,1200.0,1,31.8887,3997.2281,3997.469,3997.4958,3996.1573,28.3712,28.8131,32.1184,28.0503
8192.0,1200.0,4,87.1267,15667.0848,15668.7723,15668.9598,15286.6183,33.4257,33.8397,37.6344,32.8896
8192.0,1200.0,8,135.2123,31160.1993,31160.8362,31160.9137,28770.3115,33.8234,34.3268,48.7959,33.2302
8192.0,1200.0,16,179.9673,62209.0959,62245.1654,62245.2812,48618.9815,37.7521,38.6153,294.743,37.0709
8192.0,1200.0,32,159.5789,115391.6756,200839.4376,200839.7247,85521.0595,33.4979,34.5381,38.4886,33.1434
12000.0,1200.0,1,28.7223,5934.6233,5935.7344,5935.8578,5929.6854,30.2504,30.7292,33.7878,29.8978
12000.0,1200.0,4,71.0787,23263.8068,23268.1538,23268.6367,20835.485,37.4488,37.8213,41.8931,36.9122
12000.0,1200.0,8,105.1574,45750.8253,46403.0876,46412.4345,35783.5431,37.9873,38.5087,47.1494,37.4479
12000.0,1200.0,16,133.1073,91325.7421,92573.5612,92578.5085,60564.1901,44.0708,45.1062,62.3466,43.0751
12000.0,1200.0,32,124.0039,254377.2887,261444.8361,261680.4231,135549.3989,40.8288,41.8711,51.4719,40.1611
16000.0,1200.0,1,25.6861,8039.0449,8039.6908,8039.7626,8036.174,32.6845,33.1057,38.7751,32.2592
16000.0,1200.0,4,59.1761,31559.4576,31725.7447,31744.2211,28544.7838,41.9268,42.3876,47.6614,41.2785
16000.0,1200.0,8,84.8351,62239.012,62943.1024,62943.6521,48875.3178,42.5239,43.2717,55.5005,41.8748
16000.0,1200.0,16,81.919,117800.7544,193598.0772,194432.1641,85903.0193,41.4944,42.2023,45.9066,35.607
16000.0,1200.0,32,88.4833,294570.9383,384472.1584,384609.1151,184450.924,41.7404,42.4675,44.9858,41.2469
20000.0,1200.0,1,23.2291,10199.2909,10202.4003,10202.7458,10185.4715,34.8992,35.2789,39.1151,34.5883
20000.0,1200.0,4,50.57,40063.8333,40078.6903,40080.3411,31547.823,46.1942,46.7122,297.9712,45.7365
20000.0,1200.0,8,70.7721,79174.6895,79918.7851,79938.9339,52543.7521,46.9736,47.7393,308.4984,46.4955
20000.0,1200.0,16,66.8945,229325.6068,232008.0807,232156.1607,110623.9887,46.5684,47.7297,54.6856,45.9376
20000.0,1200.0,32,73.8944,442364.0795,463577.0022,463857.5343,235474.9715,48.0086,49.7933,102.9913,46.7109
