输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,40.7513,330.8724,331.1521,331.1832,329.6291,24.6242,25.0143,31.4773,24.283
2048.0,1200.0,4,145.4894,1142.3745,1142.9326,1142.9946,987.811,27.0887,27.4012,33.8908,26.5605
2048.0,1200.0,8,275.5952,2205.668,2206.9014,2207.0489,2021.219,27.477,28.6058,250.1873,27.211
4096.0,1200.0,1,39.2281,620.0294,620.2742,620.3014,618.9417,25.3631,25.9115,33.9762,24.9954
4096.0,1200.0,4,130.2312,2250.6723,2251.0351,2251.0754,1946.1515,29.419,29.9017,34.542,28.8588
4096.0,1200.0,8,241.5241,4404.3395,4404.9694,4405.051,4048.8184,29.8653,30.511,35.2606,29.4734
8192.0,1200.0,1,34.0809,1243.6312,1244.14,1244.1966,1241.3699,28.7704,29.968,33.5464,28.3301
8192.0,1200.0,4,98.867,4594.1964,4594.3023,4594.3141,3964.2841,39.1884,41.0186,107.6237,36.6535
8192.0,1200.0,8,182.8344,9067.8771,9069.6024,9069.803,6950.43,36.5732,47.509,89.5761,36.2541
12000.0,1200.0,1,31.3153,1824.1669,1824.2765,1824.2887,1823.6797,38.8094,40.0722,89.1491,30.4378
12000.0,1200.0,4,87.4944,6877.5271,6890.3283,6891.7507,5187.3431,40.4541,44.6132,101.2181,40.0069
12000.0,1200.0,8,154.098,13025.239,13690.1732,13699.9577,9019.9751,41.2793,44.5471,94.1711,40.5453
16000.0,1200.0,1,27.805,2523.5551,2526.94,2527.3161,2508.5115,39.9288,42.0348,92.8669,33.9002
16000.0,1200.0,4,76.4544,9382.0404,9388.2811,9388.9745,7124.682,44.9527,55.4046,105.8297,44.5244
16000.0,1200.0,8,132.7639,17645.9932,18513.1679,18513.5295,12340.2063,45.2497,50.1457,105.5685,44.8483
20000.0,1200.0,1,29.2075,3219.2061,3221.7854,3222.072,3207.7426,31.876,32.724,39.3098,31.5879
20000.0,1200.0,4,67.683,12254.8626,12275.2328,12277.4962,8376.1483,49.4186,53.2486,109.4156,48.9089
20000.0,1200.0,8,115.4401,23128.32,24318.2269,24372.7833,14462.3087,49.688,51.7478,100.7192,49.1558
