输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,43.3511,991.8323,992.0915,992.1203,990.6802,25.9329,33.0453,305.3511,22.2603
2048.0,1200.0,4,127.9869,3511.7873,3512.3669,3512.4313,3501.1315,31.0087,33.3065,247.6638,28.3573
2048.0,1200.0,8,215.7657,6884.2588,6885.9508,6886.1962,6868.499,33.1911,35.2103,177.0966,31.3738
4096.0,1200.0,1,41.4503,1841.6346,1842.3225,1842.399,1838.5773,26.4563,32.724,35.6133,22.6106
4096.0,1200.0,4,109.6124,6960.5569,6961.1532,6961.2195,6949.3199,33.4717,35.4301,43.4047,30.7253
4096.0,1200.0,8,169.7837,13079.8258,14003.9639,14024.1086,12420.5911,38.4251,40.5767,253.2137,35.5096
8192.0,1200.0,1,13.9473,3622.3221,3623.0526,3623.1338,3619.0756,95.2753,113.8459,134.6724,68.7156
8192.0,1200.0,4,48.2642,14151.6731,14152.5483,14152.6455,11528.7396,99.9555,115.0531,136.945,71.1186
8192.0,1200.0,8,49.8467,71175.9254,118490.7056,118633.7338,29813.7523,79.534,106.1813,126.5516,61.5224
12000.0,1200.0,1,13.6024,5350.5714,5351.3803,5351.4702,5346.9762,96.2934,114.9164,133.2294,69.0986
12000.0,1200.0,4,46.3843,21047.9423,21048.8888,21048.994,15853.678,94.2507,114.9415,264.0678,68.7475
12000.0,1200.0,8,43.2345,138233.4914,138481.3647,138483.5652,61933.257,99.8245,117.7257,128.0614,70.4468
16000.0,1200.0,1,14.168,7235.2625,7236.4026,7236.5293,7230.1954,90.4342,109.3711,117.1934,64.6037
16000.0,1200.0,4,25.6731,106513.3997,106763.6304,106791.4338,39330.7464,94.0553,112.8762,130.6023,67.0084
16000.0,1200.0,8,32.7238,216269.0445,216390.9512,216391.0554,104854.5317,92.9145,107.0576,128.3161,64.2675
20000.0,1200.0,1,12.7576,9235.1333,9236.015,9236.113,9231.2147,97.7782,113.4133,125.6378,70.7339
20000.0,1200.0,4,24.0873,123895.0225,125117.9666,125253.8493,44976.5305,78.7596,106.6879,134.9377,62.3429
20000.0,1200.0,8,27.059,244014.215,251579.4025,252881.4721,122213.6211,100.5122,115.9616,21827.367,79.7929
