输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）,所有请求耗时(s)
2048,1200,1,53.883,2201.8992,2204.9703,2205.3115,2188.2498,131.2504,148.6538,158.5307,16.6984,44.5409
2048,1200,4,111.9233,8435.0677,8435.3934,8435.4295,8431.5583,226.8174,242.4594,259.8839,28.5843,85.773
2048,1200,8,176.9691,16776.6783,16777.6624,16777.8272,16774.0091,248.6227,251.8397,255.6472,31.0764,108.4935
4096,1200,1,48.6782,4282.2553,4284.5895,4284.8489,4271.881,131.5782,149.4425,154.2483,16.9489,49.3033
4096,1200,4,92.1479,16801.9133,16802.1557,16802.1826,16777.7671,229.2917,257.3605,275.8117,29.3045,104.1803
4096,1200,8,133.2974,33599.9241,33607.4613,33608.7532,33558.0174,254.6832,258.7154,268.7052,31.8834,144.0388
8192,1200,1,13.336,8551.939,8552.0747,8552.0898,8551.336,527.2513,610.8936,758.4682,67.6451,179.9645
8192,1200,4,40.7098,33701.8056,33710.3615,33711.3122,33472.4453,541.3515,620.0673,665.5957,69.804,235.8156
8192,1200,8,63.3161,67235.9597,67271.6967,67271.7211,54144.729,538.807,623.9943,720.8002,69.9244,303.2404
12000,1200,1,12.5787,12506.6785,12506.8627,12506.8832,12505.8597,533.5153,616.7284,711.4916,68.8691,190.7988
12000,1200,4,36.1233,49582.3095,49582.567,49582.5956,42874.6569,535.2293,624.9532,696.2289,69.0538,265.7566
12000,1200,8,51.5378,98956.6216,98964.1501,98964.2928,70824.3326,550.776,637.5988,704.1922,72.3529,372.542
16000,1200,1,11.895,16686.0477,16686.8416,16686.9298,16682.5197,537.102,616.3864,701.5433,69.9725,201.7658
16000,1200,4,31.543,66234.6279,66237.1577,66237.4388,56558.9711,545.5484,631.1381,732.5053,71.2545,304.3466
16000,1200,8,43.8845,132332.9578,132351.6821,132351.6882,94659.8653,547.9109,637.7388,725.8529,71.5833,437.5117
20000,1200,1,11.2575,20935.2838,20937.3737,20937.6059,20925.9951,540.824,634.1468,701.9196,71.1877,213.1919
20000,1200,4,28.9474,83316.2365,83368.2687,83374.05,62614.0023,461.5249,627.3947,744.8011,68.3478,331.6361
20000,1200,8,38.2313,160312.0673,166476.9534,166479.6431,102468.4722,541.491,622.0031,760.5339,70.1112,502.2063
