输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,63.25,321.1653,323.5408,323.8048,310.6077,18.5492,29.1545,35.469,15.5645
2048.0,1200.0,4,204.8879,1123.3727,1123.9721,1124.0387,1096.38,20.5951,31.0429,35.5283,18.6222
2048.0,1200.0,8,315.8835,2157.2005,2158.2951,2158.4428,2148.0315,25.1391,32.3532,310.3843,23.5519
4096.0,1200.0,1,61.187,599.0986,602.7669,603.1745,582.795,18.8297,31.0973,32.9308,15.8695
4096.0,1200.0,4,184.3533,2198.2363,2198.7818,2198.8424,2169.5869,23.7948,32.018,334.3566,19.9039
4096.0,1200.0,8,282.7186,4068.1164,4345.2485,4350.4946,3865.1044,26.1815,31.5686,231.8027,24.7037
8192.0,1200.0,1,24.9085,1181.6183,1187.4441,1188.0914,1155.7263,53.491,70.6222,82.5194,39.2143
8192.0,1200.0,4,86.7114,4482.0063,4482.4383,4482.4863,3503.9053,57.6876,70.0064,80.7096,42.453
8192.0,1200.0,8,163.4625,8765.2638,8797.3294,8797.3854,5963.461,54.0348,70.3471,92.3099,41.6575
12000.0,1200.0,1,25.6765,1762.9467,1773.7195,1774.9165,1715.0676,49.0241,66.9493,78.2951,37.5372
12000.0,1200.0,4,72.386,6697.8425,6698.3054,6698.3569,5061.4641,71.5665,177.1822,340.0915,49.7322
12000.0,1200.0,8,130.9624,13235.3961,13268.5298,13268.6358,8384.9859,67.3924,82.9106,271.6671,50.0863
16000.0,1200.0,1,22.8102,2378.1277,2385.7219,2386.5657,2344.3757,57.7583,71.5811,80.7809,41.9213
16000.0,1200.0,4,79.9546,9117.8255,9118.3397,9118.3969,6863.7685,57.0219,71.6511,305.2646,42.489
16000.0,1200.0,8,133.6193,18067.2059,18090.2289,18091.2083,11455.9289,54.5206,76.8382,86.5129,44.837
20000.0,1200.0,1,26.0769,3077.3658,3091.636,3093.2216,3013.9425,47.1424,66.7283,80.5416,35.851
20000.0,1200.0,4,62.2908,11703.788,11825.1233,11838.605,7459.0455,60.7798,450.2162,1166.1811,54.4607
20000.0,1200.0,8,123.7038,21792.0113,23230.5593,23238.6121,13271.4184,55.6559,83.7872,94.7613,45.3473
