输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,41.4353,467.8223,469.3481,469.5176,461.0412,24.1415,29.4634,57.6195,23.7687
2048.0,1200.0,4,143.159,1703.9006,1703.9729,1703.9809,1702.71,27.059,27.8693,60.9942,26.5426
2048.0,1200.0,8,226.1247,3542.4215,3542.8847,3542.95,3540.136,33.133,36.4142,67.0659,32.4517
4096.0,1200.0,1,39.2328,869.3281,869.3333,869.3339,869.305,25.176,29.7146,65.8093,24.7848
4096.0,1200.0,4,128.2148,3582.1753,3583.0148,3583.108,3580.0777,28.7154,30.4356,60.5843,28.2344
4096.0,1200.0,8,194.0524,7088.0381,7114.5816,7119.2347,7063.864,36.0084,38.5334,83.4837,35.3331
8192.0,1200.0,1,38.0488,1816.4175,1816.5349,1816.5479,1815.8956,25.2666,27.3481,65.9163,24.7889
8192.0,1200.0,4,106.3228,7320.029,7326.6661,7327.4036,7053.0189,31.8319,33.7689,937.8077,31.533
8192.0,1200.0,8,150.0781,14766.5551,14778.386,14778.4414,12500.1803,42.4334,45.8763,987.2268,41.0243
12000.0,1200.0,1,35.6883,2845.9339,2846.099,2846.1173,2845.2002,26.0113,27.3431,58.398,25.67
12000.0,1200.0,4,92.1031,11384.1791,11384.2855,11384.2973,11360.2105,34.6034,36.0845,74.2954,33.9631
12000.0,1200.0,8,124.4958,22692.0322,22709.3908,22709.4123,17149.1013,46.1976,51.8916,105.4055,45.3517
16000.0,1200.0,1,34.2574,3908.8236,3909.2554,3909.3034,3906.9047,26.2742,29.8951,59.3709,25.9547
16000.0,1200.0,4,81.5493,15646.7065,15646.9826,15647.0133,14870.6006,36.681,39.4471,79.9052,36.0365
16000.0,1200.0,8,104.6443,31185.3609,31205.4692,31205.5421,23063.6126,51.9949,57.3734,108.9259,50.4531
20000.0,1200.0,1,32.1772,5135.17,5135.655,5135.7089,5133.0147,27.1773,31.2554,58.71,26.8219
20000.0,1200.0,4,71.7282,20445.437,20446.8202,20446.9739,15492.8719,39.6532,43.1653,81.7579,38.7472
20000.0,1200.0,8,89.4422,40895.6162,40962.8682,40969.8802,26456.5712,58.3269,65.3246,115.1267,55.3228
