输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,28.4748,470.7228,471.2614,471.3212,468.3289,35.2429,35.7987,52.7895,34.7571
2048.0,1200.0,4,104.7915,1567.1482,1567.3428,1567.3644,1566.2633,37.3376,39.4622,57.3502,36.8948
2048.0,1200.0,8,184.9255,3104.5859,3104.6364,3104.6424,3101.0988,41.4023,42.8904,58.1078,40.7072
4096.0,1200.0,1,27.2164,845.9861,846.0933,846.1052,845.5096,36.5556,37.6826,51.637,36.0679
4096.0,1200.0,4,97.0306,3151.2183,3151.2513,3151.2549,3147.3553,39.1038,40.5016,56.8697,38.6314
4096.0,1200.0,8,165.4085,6021.5544,6045.8673,6048.1289,6005.6383,44.0875,45.395,58.7705,43.3548
8192.0,1200.0,1,26.4744,1673.1205,1673.7642,1673.8357,1670.2598,36.8098,37.6517,50.3065,36.4101
8192.0,1200.0,4,84.425,6316.1503,6319.8381,6320.2478,6286.1429,42.8914,45.2424,61.3398,42.1386
8192.0,1200.0,8,133.0903,12607.7983,12616.8682,12616.9388,10427.4083,50.5767,52.1751,71.7751,49.6344
12000.0,1200.0,1,25.3944,2475.2531,2475.5708,2475.6062,2473.8408,37.7387,38.9484,55.6553,37.3477
12000.0,1200.0,4,75.7716,9521.8728,9522.1436,9522.1737,9026.4206,45.5799,46.9303,61.9069,44.8844
12000.0,1200.0,8,113.8117,18983.6161,18989.0602,18989.1296,14710.045,55.2453,58.6847,527.0607,54.4962
16000.0,1200.0,1,24.597,3487.918,3489.3567,3489.5165,3481.5239,38.1584,39.4987,61.61,37.7844
16000.0,1200.0,4,68.6472,13062.6159,13062.9773,13063.0174,12125.7786,47.6799,49.5951,459.8983,47.4092
16000.0,1200.0,8,68.8356,90107.2955,90308.6932,90308.7208,33728.4407,41.6721,42.3036,56.7314,41.1562
20000.0,1200.0,1,23.7979,4497.6207,4499.1078,4499.2731,4491.0109,38.6929,39.727,57.0747,38.3089
20000.0,1200.0,4,62.581,17765.0004,17771.5771,17772.3079,14013.1148,49.8294,52.6911,69.2969,49.1386
20000.0,1200.0,8,62.4138,99047.3829,99091.5781,99098.7181,46686.2331,46.154,46.9054,64.3546,45.6391
