输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）,所有请求耗时(s)
2048,1200,1,37.7833,503.7732,504.3493,504.4133,501.2126,205.1106,212.8983,262.306,25.9929,63.5202
2048,1200,4,139.5641,1985.1314,1985.4313,1985.4646,1969.8117,214.7073,219.307,225.4739,26.9016,68.7856
2048,1200,8,244.4207,4024.4902,4024.9046,4024.977,3995.7971,232.2989,239.4748,243.4202,29.2622,78.5531
4096,1200,1,37.0714,960.3593,961.4285,961.5473,955.607,205.6658,212.8423,257.0648,26.1255,64.7399
4096,1200,4,126.315,4053.1249,4053.2755,4053.2923,4045.4188,223.9073,229.5926,245.648,28.1694,76.0005
4096,1200,8,210.386,8013.2695,8027.861,8028.2719,8002.3557,247.9021,255.0181,258.4933,31.1809,91.2608
8192,1200,1,35.8062,2068.7095,2069.5286,2069.6196,2065.0694,207.0555,213.6913,225.1996,26.1501,67.0276
8192,1200,4,113.0633,8334.4676,8354.1476,8356.3343,7847.7348,225.9625,231.2736,237.6277,28.3241,84.9082
8192,1200,8,169.3286,16569.3427,16586.7621,16586.8162,14136.5094,265.0225,272.6586,276.4921,33.2754,113.389
12000,1200,1,34.5523,3295.3901,3299.2128,3299.6376,3278.4001,207.7918,213.198,221.9007,26.1542,69.4599
12000,1200,4,98.622,12565.2223,12565.3933,12565.4123,12547.5761,238.0285,248.2073,258.967,29.9487,97.3414
12000,1200,8,140.517,25126.0922,25152.0877,25152.1351,19074.9191,284.7308,291.0108,297.4182,35.8089,136.6382
16000,1200,1,33.3975,4289.1881,4289.5265,4289.5641,4287.6839,209.0633,214.5203,219.5873,26.3122,71.8616
16000,1200,4,88.3143,17364.8167,17365.0887,17365.1189,15760.2076,246.9497,249.3484,253.5327,30.8188,108.7027
16000,1200,8,117.7703,35791.7783,37004.9791,37005.0398,26211.7061,305.3544,309.7423,321.5672,38.1477,163.0292
20000,1200,1,32.009,5617.7048,5618.1737,5618.2258,5615.6209,211.2597,215.6148,219.7823,26.5056,74.979
20000,1200,4,78.9,22312.1434,22331.7551,22333.9342,16452.2382,255.771,258.8167,264.6802,31.9451,121.673
20000,1200,8,103.0981,44549.7366,44572.7739,44574.3872,29169.5183,321.5352,326.4647,338.355,40.2268,186.2303
