输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,39.9981,990.0019,991.1149,991.2386,985.0552,25.2718,28.6282,64.8477,24.1995
2048.0,1200.0,4,132.8264,3733.8879,3735.0696,3735.2008,3726.3627,28.5716,32.7669,192.0827,27.0293
2048.0,1200.0,8,214.2999,7370.9389,7371.3548,7371.4202,7366.1314,33.4897,38.1178,193.8439,31.2152
4096.0,1200.0,1,37.5492,1945.2292,1945.839,1945.9068,1942.5187,26.1334,30.1689,87.2168,25.0328
4096.0,1200.0,4,111.9726,7472.7606,7475.346,7475.6333,7470.7902,31.2123,35.2511,91.1304,29.5192
4096.0,1200.0,8,162.8529,14902.8871,14932.3017,14937.3787,14889.1657,39.3721,46.0548,88.983,36.7089
8192.0,1200.0,1,17.4369,3964.0222,3964.2079,3964.2285,3963.1968,70.8213,79.641,128.0257,54.0968
8192.0,1200.0,4,55.8642,15440.7928,15457.7103,15459.5901,15396.8151,73.7825,87.1763,128.0031,58.764
8192.0,1200.0,8,89.8319,30754.1017,30773.4263,30773.7843,27849.3055,77.5365,93.1379,120.7049,63.4675
12000.0,1200.0,1,16.8052,5916.6345,5917.2146,5917.279,5914.0563,71.561,87.9587,133.5177,54.6273
12000.0,1200.0,4,51.5857,23221.0584,23222.7464,23222.934,23015.3759,73.9395,84.817,112.8085,58.2119
12000.0,1200.0,8,76.4628,46209.6053,46248.4355,46249.2733,37413.7484,80.0049,95.6704,211.1181,66.1651
16000.0,1200.0,1,15.9994,8072.0263,8075.304,8075.6681,8057.4588,71.9868,89.789,223.7648,55.8225
16000.0,1200.0,4,45.9086,31944.5115,31944.7818,31944.8118,31474.6207,75.8899,87.7484,117.6697,60.5615
16000.0,1200.0,8,63.8517,63700.0145,63729.6563,63731.6735,51716.2344,85.4634,105.0909,136.2977,72.2296
20000.0,1200.0,1,15.4393,10328.786,10332.9482,10333.4107,10310.2872,71.9232,90.1367,847.2183,56.2233
20000.0,1200.0,4,41.732,40883.1204,41033.72,41050.4533,32898.4925,76.4767,90.5291,125.2993,61.7687
20000.0,1200.0,8,53.4991,81915.5462,82024.1494,82034.0745,55265.4199,95.1913,112.2819,227.2298,81.2887
