输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,24.8519,701.7331,702.1688,702.2172,699.7969,41.0967,45.8386,94.0397,39.686
2048.0,1200.0,4,90.5497,2538.3412,2539.9893,2540.1725,2537.3867,43.8454,49.6771,340.087,42.09
2048.0,1200.0,8,161.3518,4998.4597,5002.5974,5003.2503,4985.1144,47.6442,55.7317,215.4372,45.4582
4096.0,1200.0,1,24.1824,1324.6546,1325.387,1325.4684,1321.3991,42.1172,49.2675,77.917,40.2831
4096.0,1200.0,4,84.7732,5006.1484,5007.9281,5008.1258,5003.1539,45.0446,50.2882,86.277,43.0475
4096.0,1200.0,8,142.0601,9994.8693,10034.6602,10040.4167,9978.3237,50.7618,58.9057,106.3369,47.9881
8192.0,1200.0,1,15.9264,2627.5553,2627.8621,2627.8962,2626.1916,69.0764,88.7234,880.4863,60.6288
8192.0,1200.0,4,55.5909,10181.0338,10196.6669,10198.404,10142.1511,70.102,84.8739,115.4636,63.5032
8192.0,1200.0,8,94.1601,20231.4623,20250.2655,20251.8649,16383.2366,75.2126,91.7153,222.2414,68.1418
12000.0,1200.0,1,15.4198,3878.3775,3879.2182,3879.3116,3874.6414,69.7197,192.7575,1057.1783,61.6717
12000.0,1200.0,4,51.4832,15217.3721,15217.778,15217.8231,13770.851,71.0719,95.206,1154.8762,65.0507
12000.0,1200.0,8,82.8401,30326.5783,30383.1898,30383.3195,23208.1009,78.3295,91.7248,123.426,71.3262
16000.0,1200.0,1,15.2104,5227.1651,5230.0774,5230.401,5214.2217,67.7076,277.2245,961.9894,61.4585
16000.0,1200.0,4,47.8164,20818.7367,20824.5764,20825.2253,17814.0234,72.2408,90.1176,2080.6021,66.3562
16000.0,1200.0,8,72.6874,42187.1124,42890.7663,42890.9028,28209.4636,82.1891,100.2918,2205.5329,74.9341
20000.0,1200.0,1,14.7266,6661.4025,6662.8644,6663.0269,6654.9051,68.7793,122.3011,1047.7734,62.4126
20000.0,1200.0,4,44.4694,26290.1963,26322.0669,26325.6081,20044.3067,74.6807,92.542,388.0863,68.0649
20000.0,1200.0,8,65.3959,52614.9615,52664.8943,52666.0813,34381.3312,86.003,97.8559,247.5005,78.4803
