输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,21.7948,1146.1322,1146.3431,1146.3665,1145.1953,45.0482,45.3271,46.3971,44.9655
2048.0,1200.0,4,80.4141,4509.7817,4510.0267,4510.0539,3668.022,46.8355,47.0415,48.6929,46.022
2048.0,1200.0,8,145.0497,8832.89,8833.2167,8833.2568,6608.9923,48.5262,48.8215,59.0147,47.8318
2048.0,1200.0,16,247.7623,17488.6185,17493.1294,17493.3693,11446.9944,50.9432,51.129,53.9704,50.0461
2048.0,1200.0,32,375.658,34809.4851,34846.2429,34846.2751,20380.8019,57.8585,58.5104,61.3058,56.217
2048.0,1200.0,48,463.257,48792.8081,52324.9635,52333.3209,29153.0802,62.548,63.3479,67.658,60.0852
2048.0,1200.0,64,517.1209,66166.6895,69729.7827,69855.6213,37933.0553,69.1632,70.0394,75.8205,65.7193
4096.0,1200.0,1,21.2604,2302.1449,2303.506,2303.6572,2296.0954,45.2646,45.4805,46.5683,45.1601
4096.0,1200.0,4,72.7155,9012.4529,9012.6762,9012.701,6748.6473,48.0358,48.2325,50.98,47.5385
4096.0,1200.0,8,122.7042,17832.0169,17832.3186,17832.3712,12232.7019,50.944,51.3219,53.237,50.3809
4096.0,1200.0,16,192.5178,35230.2196,35470.0738,35470.3388,21585.145,54.5016,54.8262,56.6536,53.6052
4096.0,1200.0,32,261.8799,68439.8331,70840.9064,70841.3835,39514.7856,64.9067,65.73,68.5387,63.2793
4096.0,1200.0,48,301.1582,99491.7176,106590.0739,106591.6053,57345.4935,73.2491,74.0734,80.3917,70.7532
4096.0,1200.0,64,322.5645,131185.1449,142729.9832,142939.3794,75263.247,83.436,84.4229,88.3859,79.9186
8192.0,1200.0,1,20.2383,4632.1933,4632.3373,4632.3533,4631.5533,45.7218,45.9079,47.1346,45.5898
8192.0,1200.0,4,60.7226,18338.0627,18347.5464,18348.6001,13743.1935,51.0273,51.2469,53.5064,50.6344
8192.0,1200.0,8,93.5242,36598.5787,36630.6927,36631.8045,24023.8371,55.6029,56.0497,58.4848,55.0766
8192.0,1200.0,16,131.5162,72697.3863,73296.1026,73296.1928,42887.0592,61.5756,61.8778,64.1514,60.6763
8192.0,1200.0,32,160.348,137371.4522,146932.6919,146966.2329,79812.1651,79.1263,80.2574,84.4529,77.4022
8192.0,1200.0,48,102.4576,339199.2639,495085.9317,495823.3935,145351.6975,60.0228,80.5792,81.5214,57.0047
8192.0,1200.0,64,116.1809,544030.9033,568203.7144,568953.0488,243250.4981,78.8134,79.6291,83.5462,77.0995
