输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,36.7228,317.5791,320.1189,320.4011,306.2915,27.6929,28.249,31.3333,26.9981
2048.0,1200.0,4,133.6648,744.9663,745.3571,745.4006,705.6328,30.255,30.813,34.8943,29.3356
2048.0,1200.0,8,232.4245,2193.6786,2194.4328,2194.509,1677.2338,33.927,34.5953,39.4148,33.016
4096.0,1200.0,1,32.3252,416.3346,417.508,417.6383,411.1197,31.2585,31.8982,34.1421,30.6187
4096.0,1200.0,4,117.183,1247.8096,1248.7301,1248.8324,1176.0477,33.8752,34.4826,37.2307,33.1279
4096.0,1200.0,8,202.9174,2325.6416,2337.4395,2337.4954,2104.3266,38.1902,38.8114,302.0158,37.5145
8192.0,1200.0,1,10.7045,895.1695,898.9933,899.4182,878.1744,91.7122,153.3897,209.8033,92.7324
8192.0,1200.0,4,40.5072,2595.7042,2606.3678,2607.5527,2197.1568,95.1902,156.3357,162.9685,96.6059
8192.0,1200.0,8,79.8584,4764.6876,4948.0299,4957.7586,3624.777,95.0335,157.512,165.5541,96.0902
12000.0,1200.0,1,10.726,1188.2681,1190.8407,1191.1266,1176.8341,90.834,151.5004,209.347,92.2785
12000.0,1200.0,4,38.7217,3925.188,3943.2692,3945.2782,2969.6207,150.5356,156.7998,210.2671,100.0505
12000.0,1200.0,8,81.1136,7388.511,7581.7669,7585.6591,4879.5881,93.6149,101.2169,166.9822,92.34
16000.0,1200.0,1,10.6082,1616.9496,1623.7472,1624.5025,1586.7382,91.609,152.453,197.0588,92.9731
16000.0,1200.0,4,37.9686,5394.7421,5415.5232,5417.8323,4086.7142,151.3544,158.4801,214.5578,100.867
16000.0,1200.0,8,77.6003,10199.5576,10435.9444,10437.6919,6721.0695,93.8704,154.6836,207.5626,94.399
20000.0,1200.0,1,10.647,2018.7553,2022.4757,2022.8891,2002.2203,91.0626,152.0334,193.3793,92.2962
20000.0,1200.0,4,39.948,6989.8315,7010.1885,7012.4504,5342.7987,93.7729,153.7535,190.607,94.3691
20000.0,1200.0,8,76.2839,13428.1605,13698.9625,13699.7941,8857.1313,93.6727,153.0724,182.5646,93.5107
