输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,102.6411,215.347,216.0269,216.1024,212.3252,9.9687,10.6925,11.1838,9.5727
2048.0,1200.0,4,363.2424,653.5024,653.7784,653.8091,610.364,10.8492,11.4018,13.6002,10.4747
2048.0,1200.0,8,626.5958,1258.2303,1258.813,1258.8907,1226.9714,12.0454,12.6853,15.3387,11.7264
2048.0,1200.0,16,973.6452,2441.5985,2442.609,2442.7214,2423.4631,14.9778,15.5156,20.0019,14.4058
2048.0,1200.0,32,1402.9562,4832.7633,4837.3205,4842.0479,4625.7026,19.2002,19.7749,545.7907,18.7889
4096.0,1200.0,1,100.4931,371.1856,371.8776,371.9545,368.1098,9.9741,10.7636,11.939,9.6512
4096.0,1200.0,4,329.3387,1266.3602,1266.6864,1266.7226,1213.8651,11.4874,12.0711,14.6096,11.0968
4096.0,1200.0,8,527.3764,2453.5158,2455.5132,2455.8583,2424.144,13.5418,14.0372,17.942,13.13
4096.0,1200.0,16,767.334,4837.1324,4838.6336,4838.9062,4573.3634,17.4068,17.9577,25.5754,16.8267
4096.0,1200.0,32,1106.0026,9612.9172,9627.063,9627.9029,7560.8822,21.5515,22.1467,36.1002,20.9339
8192.0,1200.0,1,40.3614,730.0924,730.733,730.8042,727.2451,26.3424,39.8246,74.0257,24.1841
8192.0,1200.0,4,160.0587,2528.949,2529.3024,2529.3417,2462.3095,23.3083,25.7554,29.387,22.9039
8192.0,1200.0,8,294.7887,4941.0429,4941.7085,4941.781,4554.7498,23.4714,25.0748,32.7917,23.0354
8192.0,1200.0,16,497.9294,9767.455,9775.6516,9778.6089,7643.6897,24.6155,26.3622,46.058,23.9963
8192.0,1200.0,32,719.5985,19183.3295,19461.9752,19462.6923,12826.1405,28.9609,30.1477,53.4846,28.2628
12000.0,1200.0,1,42.7399,1044.2011,1044.4314,1044.4569,1043.1775,22.8966,24.5434,31.598,22.5462
12000.0,1200.0,4,154.0408,3736.6195,3750.9159,3752.5043,3353.1409,23.1954,24.9735,28.5143,22.8632
12000.0,1200.0,8,274.4527,7232.6663,7344.8574,7345.9547,5672.6954,23.4179,25.1181,33.8152,23.0392
12000.0,1200.0,16,395.7526,14321.0249,14558.036,14569.529,9551.3079,28.9438,30.234,47.8547,28.3106
12000.0,1200.0,32,562.837,27811.5728,28970.4375,29021.7901,16904.6616,33.3962,34.7312,65.4044,32.7112
16000.0,1200.0,1,42.2332,1394.3629,1394.6538,1394.6861,1393.0701,22.9086,25.1153,29.0106,22.535
16000.0,1200.0,4,147.6706,5011.8679,5021.7023,5022.795,4539.1727,23.3481,26.2021,30.1607,22.9218
16000.0,1200.0,8,254.7497,9738.9601,9873.9021,9878.6941,7683.1311,23.5889,26.3442,35.9636,23.1951
16000.0,1200.0,16,324.9069,19312.7118,19559.4113,19569.3733,12912.2972,33.6233,35.0038,58.7659,32.9619
16000.0,1200.0,32,456.1496,37576.1889,38952.0877,39084.9356,22834.9661,38.1337,39.7962,548.9746,37.6642
20000.0,1200.0,1,40.0168,1755.0179,1757.2628,1757.5123,1745.0405,23.2828,39.3534,41.448,23.5486
20000.0,1200.0,4,141.6015,6358.7839,6367.0607,6367.9804,5037.1899,23.4304,26.1751,32.3634,22.9565
20000.0,1200.0,8,223.2835,12464.7891,12598.5522,12602.7255,8325.6773,25.5228,26.9413,624.0128,25.3392
20000.0,1200.0,16,273.6736,24652.908,25062.1607,25071.0896,14680.5598,38.2133,39.547,67.6353,37.584
20000.0,1200.0,32,382.3211,46512.6673,49821.2434,49942.1551,27132.7838,42.7849,44.7975,88.9473,42.1363
