输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,48.5972,1178.5973,1181.3695,1181.6776,1166.2762,27.7708,32.1821,38.0027,19.62
2048.0,1200.0,4,130.4332,4408.9691,4410.274,4410.419,4402.844,29.7362,33.3124,38.3293,27.0189
2048.0,1200.0,8,227.1952,8658.8476,8659.9295,8660.071,8611.939,31.7436,34.2762,285.8117,28.0547
4096.0,1200.0,1,46.1729,2259.5977,2259.8739,2259.9046,2258.3705,27.9086,33.1025,39.2419,19.7914
4096.0,1200.0,4,113.0882,8684.2967,8684.8504,8684.9119,8664.8504,30.5954,33.7523,263.1452,28.1735
4096.0,1200.0,8,179.694,16243.9638,17352.8218,17361.2275,15416.1204,33.6227,35.923,45.3933,30.0935
8192.0,1200.0,1,14.4781,4444.5332,4446.6831,4446.9219,4434.9781,91.6731,105.517,117.3314,65.4054
8192.0,1200.0,4,48.2469,17383.8901,17416.0788,17419.6553,14144.8199,96.8348,109.8961,122.4086,68.4331
8192.0,1200.0,8,79.0344,34713.7455,34714.9258,34715.0672,23481.9596,101.007,117.781,269.6111,72.3263
12000.0,1200.0,1,13.8733,6517.5881,6518.864,6519.0057,6511.9173,94.7024,106.3183,124.0961,66.6824
12000.0,1200.0,4,43.0178,25641.1148,25641.6959,25641.7605,19285.8295,100.3707,115.4544,133.1902,71.6901
12000.0,1200.0,8,65.7838,51222.5001,51290.7542,51290.8475,32306.1926,108.0235,123.8264,137.5051,78.9676
16000.0,1200.0,1,13.2538,8689.1679,8689.8898,8689.97,8685.9598,96.5452,107.3573,113.554,68.2413
16000.0,1200.0,4,40.2007,34336.2026,34337.1673,34337.2745,25830.7512,99.5388,114.8017,224.6975,70.9475
16000.0,1200.0,8,59.2396,68554.7217,68636.4482,68636.5519,43163.1106,105.2922,122.8231,143.6506,77.954
20000.0,1200.0,1,13.5592,10948.391,10953.0168,10953.5308,10927.8318,92.5102,105.4689,113.9683,64.675
20000.0,1200.0,4,37.3768,43385.5955,43387.0739,43387.2382,27309.1031,100.5674,115.5216,134.1727,70.8916
20000.0,1200.0,8,51.0065,81331.1439,86725.7495,86738.0315,49190.4392,114.0657,136.8116,264.3292,84.6443
