输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,28.0406,2148.6927,2149.6018,2149.7028,2144.6521,36.3005,38.4867,49.3038,33.9009
2048.0,1200.0,4,71.836,8438.7669,8439.4751,8439.5537,8399.4981,51.9269,54.3122,62.4944,48.721
2048.0,1200.0,8,118.1108,16804.5213,16805.7334,16805.8977,16767.1635,60.415,63.4724,275.4142,53.8015
4096.0,1200.0,1,25.3854,4261.4008,4263.144,4263.3377,4253.6534,37.1511,38.7593,56.4642,35.8772
4096.0,1200.0,4,62.8086,16832.6011,16833.0776,16833.1305,16830.933,52.7134,55.2687,266.8474,49.6972
4096.0,1200.0,8,96.0439,33714.1795,33715.5606,33715.7085,25838.3684,61.8144,64.8627,201.2561,55.2812
8192.0,1200.0,1,9.8507,8495.1452,8496.3814,8496.5188,8489.651,120.4109,132.3459,159.436,94.512
8192.0,1200.0,4,32.2352,33749.4619,33750.246,33750.3331,25343.387,122.7122,134.5108,148.8029,96.0646
8192.0,1200.0,8,30.7347,194581.0079,199978.7457,200495.4881,74102.6059,118.2409,126.7676,136.5844,94.4894
12000.0,1200.0,1,9.5533,12490.4746,12494.8913,12495.382,12470.8451,118.4986,131.9233,148.7277,94.3543
12000.0,1200.0,4,27.8272,49616.643,49679.8638,49686.8884,31152.829,128.2916,138.5526,150.9302,102.4538
12000.0,1200.0,8,28.263,210194.9016,220829.9516,222680.5823,114658.4099,127.8433,136.4163,189.9397,102.8196
16000.0,1200.0,1,9.0107,16651.3681,16651.9821,16652.0503,16648.6392,123.0263,133.5811,144.4229,97.1663
16000.0,1200.0,4,16.2594,179284.5478,180545.4704,180685.5729,69952.5529,121.977,133.8079,371.1243,96.3429
16000.0,1200.0,8,20.4445,350763.2613,360629.0989,361318.5809,173474.2535,117.9973,128.139,139.4648,92.171
20000.0,1200.0,1,8.6616,20895.6655,20899.7266,20900.1779,20877.616,123.8176,134.0995,148.1236,98.1295
20000.0,1200.0,4,15.2591,198921.9412,200420.3823,200586.8758,110308.8653,119.1636,128.3,137.7479,96.0347
20000.0,1200.0,8,15.7478,486394.2052,497997.1686,498532.4269,260544.9676,118.6863,128.878,151.7986,94.1066
