输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,63.0137,163.9534,164.3122,164.3521,162.3583,15.8846,16.0391,20.64,15.7467
2048.0,1200.0,4,222.4907,537.9272,538.0015,538.0098,535.2122,17.7812,18.0709,20.9208,17.5448
2048.0,1200.0,8,388.8796,1058.2049,1058.3494,1058.3644,1044.8243,20.1264,20.6649,28.5586,19.7139
4096.0,1200.0,1,60.7756,292.5722,292.748,292.7675,291.7912,16.3647,16.5451,21.0199,16.2236
4096.0,1200.0,4,205.9925,1073.028,1073.0577,1073.061,1069.6712,18.7792,19.1275,24.6355,18.5404
4096.0,1200.0,8,345.8839,2144.89,2158.5492,2160.9072,2136.0057,21.7632,22.2699,27.5253,21.3425
8192.0,1200.0,1,57.8543,594.1636,594.6024,594.6511,592.2134,16.9049,17.0893,19.7136,16.8046
8192.0,1200.0,4,180.3998,2330.7604,2339.971,2340.9944,2317.2382,20.6476,21.8737,27.4141,20.2338
8192.0,1200.0,8,281.4232,4651.6351,4662.5465,4662.6016,4119.3902,25.0011,26.1561,40.7428,24.6089
12000.0,1200.0,1,55.3307,991.841,992.1048,992.1341,990.6684,17.359,17.559,23.2008,17.261
12000.0,1200.0,4,162.5182,3651.8273,3652.0416,3652.0654,2968.1803,21.7663,22.0956,26.4091,21.5773
12000.0,1200.0,8,240.5046,7278.4982,7286.1105,7286.17,5835.6818,27.296,29.4755,485.0802,27.1927
16000.0,1200.0,1,53.947,1288.6856,1288.9939,1289.0281,1287.3154,17.5417,17.7392,22.4424,17.4775
16000.0,1200.0,4,146.2008,5167.5493,5167.8424,5167.875,5138.7429,23.1741,23.6754,455.0291,23.0719
16000.0,1200.0,8,208.2886,10246.9923,10254.4344,10254.4723,8397.1987,30.2511,32.2937,38.624,29.8603
20000.0,1200.0,1,51.941,1717.4758,1717.8488,1717.8903,1715.8182,17.9943,18.1994,23.7327,17.8366
20000.0,1200.0,4,135.1735,6776.1379,6781.1167,6781.6699,5415.1694,24.1665,25.0871,30.1429,23.9508
20000.0,1200.0,8,182.3327,13555.4035,13577.0153,13580.7618,9388.637,33.4928,36.9541,49.8057,32.5603
