输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048,1200,1,24.79,,,,1025.69,,,,
2048,1200,4,78.45,,,,4072.37,,,,
2048,1200,8,122.71,,,,8215.74,,,,
2048,1200,16,106.11,,,,16985.38,,,,
4096,1200,1,23.46,,,,2077.52,,,,
4096,1200,4,69.88,,,,8401.28,,,,
4096,1200,8,103.54,,,,16946.9,,,,
4096,1200,16,91.93,,,,28546.7,,,,
8192,1200,1,22.56,,,,4309.38,,,,
8192,1200,4,59.61,,,,17641.24,,,,
8192,1200,8,83.32,,,,30172.77,,,,
8192,1200,16,72.13,,,,49940.32,,,,
12000,1200,1,21.19,,,,6707.7,,,,
12000,1200,4,51.68,,,,21500.81,,,,
12000,1200,8,68.83,,,,36853.11,,,,
12000,1200,16,61.41,,,,82643.78,,,,
16000,1200,1,20.01,,,,9193.26,,,,
16000,1200,4,45.3,,,,29341.79,,,,
16000,1200,8,57.53,,,,50838.79,,,,
16000,1200,16,55.78,,,,130664.97,,,,
20000,1200,1,18.86,,,,11998.1,,,,
20000,1200,4,39.6,,,,34661.8,,,,
20000,1200,8,49.04,,,,58855.8,,,,
20000,1200,16,48.97,,,,157044.97,,,,
