输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048,1200,1,53.21,949.9898,959.9429,961.0489,905.7533,18.1396,18.4509,22.8401,18.0531
2048,1200,4,182.2123,3449.8051,3450.056,3450.0839,3154.1668,19.3538,19.6415,22.3383,19.1352
2048,1200,8,293.4137,6982.8058,6983.1707,6983.2171,6779.4678,21.7161,22.0328,25.5173,21.502
2048,1200,16,421.8638,14038.6189,14039.1017,14039.1238,13906.2961,26.7027,27.0632,259.0945,26.282
4096,1200,1,50.9379,1794.7461,1802.428,1803.2815,1760.6044,18.2642,18.5488,20.4856,18.1794
4096,1200,4,157.3475,6875.9875,6876.2374,6876.2652,6569.6844,19.8485,20.1691,22.864,19.7179
4096,1200,8,233.4205,14110.9612,14111.3945,14111.4387,13876.6292,22.9427,23.1911,28.3808,22.5851
4096,1200,16,309.4633,28240.4523,28241.413,28241.635,26703.3594,28.6404,29.0265,37.6776,28.1953
8192,1200,1,34.4762,3667.9081,3677.057,3678.0736,3627.2462,26.183,27.0541,28.6067,26.0038
8192,1200,4,103.6911,14343.2481,14343.486,14343.5125,13962.9019,27.0881,27.7966,31.5955,26.6774
8192,1200,8,155.8339,28728.2052,28734.359,28735.3659,26502.0334,28.5837,29.0609,272.9199,27.4373
8192,1200,16,195.3647,57563.4561,57567.58,57567.6664,45009.0331,34.5071,35.224,49.7164,33.9432
8192,1200,32,183.0109,114215.4576,115574.2223,115574.9786,76069.0554,53.8688,55.2616,48919.8414,55.0831
8192,1200,64,181.1724,304507.4835,370727.6854,392603.8679,174272.4573,26.9367,27.8246,28.6881,26.6442
12000,1200,1,32.799,5431.4119,5440.5638,5441.5807,5390.7366,26.1952,27.006,29.4428,26.0175
12000,1200,4,90.0979,21227.2418,21306.1456,21314.9127,19037.0003,26.9736,27.8351,33.6283,26.7028
12000,1200,8,125.5778,41989.0574,42590.8176,42603.8692,32832.7593,28.6073,29.2578,40.3927,28.2548
12000,1200,16,147.192,84027.982,85166.4252,85179.8708,55711.6872,38.2607,39.2434,263.6691,37.743
16000,1200,1,31.1315,7345.0171,7352.8713,7353.744,7310.1092,26.2165,27.0415,28.5899,26.051
16000,1200,4,78.8177,28975.0741,29007.5708,29011.1815,26209.4668,26.7794,27.643,34.6452,26.6142
16000,1200,8,101.7141,57419.811,58070.3314,58075.4852,45129.9622,30.6496,31.4652,45.0521,30.2861
16000,1200,16,115.5669,114831.1153,116115.6109,116120.8483,76355.1805,42.3151,43.2937,66.8763,41.6905
20000,1200,1,29.3984,9368.2974,9379.0288,9380.2211,9320.6023,26.3414,27.3008,285.5528,26.2693
20000,1200,4,69.8556,36769.7747,36789.5095,36791.7023,28959.5334,26.7794,27.7022,36.4354,26.628
20000,1200,8,85.6065,72705.1127,73391.355,73407.29,48222.5157,32.6666,33.4626,49.9719,32.3321
20000,1200,16,84.1651,193686.577,196344.6032,196585.2342,94334.2696,26.779,28.2502,33.9337,26.6077
