输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）,所有请求耗时(s)
2048,1200,1,31.7387,1395.6293,1396.0756,1396.1252,1393.6456,241.5993,244.8595,259.2156,30.2813,75.6174
2048,1200,4,107.2605,5175.1158,5175.7902,5175.8651,5148.9739,262.0776,267.6294,275.5402,32.8566,89.5018
2048,1200,8,173.1887,10082.8716,10082.8936,10082.8945,10076.0031,298.9588,308.1746,314.0059,37.622,110.8617
4096,1200,1,30.4969,2640.2497,2641.501,2641.64,2634.6885,243.6214,247.1764,253.0579,30.5294,78.6964
4096,1200,4,94.1083,10175.6968,10177.2098,10177.3779,10152.0874,270.0236,276.4673,310.2058,33.8964,102.0102
4096,1200,8,138.5694,20661.3685,20904.9908,20947.9778,18899.4621,316.099,332.7715,347.0505,40.2051,138.5587
8192,1200,1,17.1715,5349.3629,5352.4084,5352.7467,5335.8274,404.1499,476.9364,532.1397,53.6524,139.7663
8192,1200,4,55.1963,21048.9719,21081.7636,21085.4072,20982.9217,417.0066,479.1,520.6181,54.7076,173.9246
8192,1200,8,88.3252,41832.5303,41869.8862,41871.8221,33779.7203,418.8615,489.3097,549.4977,55.5002,217.3784
12000,1200,1,16.5103,7823.7516,7826.9144,7827.2658,7809.6944,407.493,480.3416,589.5822,53.9471,145.3637
12000,1200,4,49.2984,31488.3104,31493.0593,31493.5869,26549.5171,412.654,488.059,617.1633,54.6585,194.7326
12000,1200,8,73.6576,62756.2555,62922.1699,62922.2446,45629.9854,426.9624,488.4533,562.1478,56.0501,260.6655
16000,1200,1,15.9519,10621.4245,10622.8506,10623.0091,10615.0862,402.6348,474.834,556.0113,53.7069,150.4527
16000,1200,4,43.9094,42987.5408,42987.9454,42987.9903,36836.4141,416.7894,488.3814,595.9829,55.0216,218.6322
16000,1200,8,61.0873,85905.1343,85956.7904,85959.2375,61950.1371,458.3546,508.3066,536.3591,59.0625,314.3042
20000,1200,1,15.2229,13707.0747,13713.0871,13713.7551,13680.353,410.4218,478.5972,553.0935,54.1875,157.657
20000,1200,4,38.8974,54739.9169,55919.0314,56050.0442,40682.8722,419.8121,512.7149,1309.3885,56.6656,246.8033
20000,1200,8,52.3098,108054.9946,108715.2623,108751.3676,68130.764,487.7402,523.8904,691.3928,62.0627,367.0438
