输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,47.8799,379.4034,391.843,393.2252,324.1161,21.9986,26.836,74.2825,20.632
2048.0,1200.0,4,174.4998,879.9969,881.2385,881.3765,863.7484,23.5507,27.5515,37.8323,22.2207
2048.0,1200.0,8,305.4747,1665.5558,1665.8908,1665.9313,1659.0213,26.7724,32.0151,187.7705,24.8213
4096.0,1200.0,1,46.6475,480.8482,481.4829,481.5535,478.0273,22.4894,26.0824,77.2543,21.0556
4096.0,1200.0,4,159.5678,1691.1396,1691.3712,1691.397,1689.2456,25.1016,31.1699,194.1278,23.6762
4096.0,1200.0,8,262.1488,3310.1822,3323.3028,3325.168,3300.0505,30.1042,34.8049,70.7949,27.7563
8192.0,1200.0,1,29.2008,958.7229,959.056,959.093,957.2424,48.6393,60.5046,114.4947,33.4642
8192.0,1200.0,4,105.9791,3509.3413,3529.0665,3531.2582,3482.1949,49.2639,56.113,83.1528,34.8273
8192.0,1200.0,8,173.24,6903.169,6917.0801,6918.4826,5917.4834,52.1147,60.6978,81.1073,40.4482
12000.0,1200.0,1,30.1449,1412.9581,1415.3925,1415.6629,1402.1388,47.3368,55.9505,73.2837,32.0283
12000.0,1200.0,4,95.4419,5386.6875,5387.2413,5387.3029,5341.685,50.4497,58.3154,1643.6483,37.4457
12000.0,1200.0,8,150.2524,10592.9571,10595.2827,10595.3838,8145.1145,54.5007,63.561,220.3905,44.4206
16000.0,1200.0,1,30.0732,1951.494,1956.4988,1957.0549,1929.2505,47.5377,60.3754,85.5611,31.6568
16000.0,1200.0,4,87.3211,7555.8514,7558.9938,7559.343,6966.1975,51.1509,59.365,117.618,39.5212
16000.0,1200.0,8,133.0904,14965.6188,14975.0113,14975.1033,11728.3935,56.9367,65.1748,114.7774,47.6375
20000.0,1200.0,1,29.8067,2568.49,2573.6979,2574.2765,2545.3438,47.1266,52.9653,94.9153,31.4503
20000.0,1200.0,4,79.8349,9875.7342,9880.7894,9881.351,8027.7511,52.9113,61.082,112.9469,41.8954
20000.0,1200.0,8,114.9212,19544.9466,19641.9433,19650.1391,12996.0787,61.0907,68.9109,118.9057,53.3096
