输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,500.0,1,38.7886,1600.0659,1600.1301,1600.1373,1599.7807,22.6691,22.7777,23.5296,22.6258
2048.0,500.0,4,101.5238,6298.9834,6300.1912,6300.3254,5711.156,27.2991,27.4595,28.4526,26.8517
2048.0,500.0,8,153.2362,12566.5514,12568.0506,12568.2587,12222.5026,27.5816,27.8402,29.9658,27.1241
4096.0,500.0,1,33.4186,3219.816,3220.0069,3220.0282,3218.9675,23.7692,23.8835,24.4067,23.5324
4096.0,500.0,4,70.2596,12726.5951,12727.9123,12728.0587,12045.1327,31.9922,32.0864,33.9122,31.5423
4096.0,500.0,8,96.8028,25417.6963,25425.648,25426.6424,22652.8413,32.3041,32.64,35.6206,31.8573
8192.0,500.0,1,25.1194,6590.2888,6590.353,6590.3601,6590.0039,26.8711,27.3433,28.3208,26.6842
8192.0,500.0,4,42.4343,26069.0455,26071.3999,26071.6615,22398.4107,42.6756,43.5112,46.109,42.2022
8192.0,500.0,8,54.5772,50758.8824,52081.7491,52082.6242,39043.6366,42.9662,43.7558,49.055,42.4964
12000.0,1200.0,1,27.2487,9835.3536,9835.4618,9835.4738,9834.8725,28.8005,29.0089,31.5035,28.5278
12000.0,1200.0,4,47.3847,39038.472,39046.6043,39047.5079,29785.1032,52.9386,53.3817,266.4539,51.9196
12000.0,1200.0,8,68.1326,76951.0419,78324.9046,78351.7456,50329.3458,53.3248,53.8381,62.4106,52.2303
16000.0,1200.0,1,24.1056,13377.1183,13377.8087,13377.8854,13374.05,30.6051,30.7921,32.171,30.3651
16000.0,1200.0,4,37.9974,53177.985,53183.5546,53184.1735,41009.8964,62.1652,62.6302,68.4857,61.0
16000.0,1200.0,8,53.2174,105151.9224,106879.8768,106983.8745,69098.7806,62.6377,63.2334,74.4189,61.4981
20000.0,1200.0,1,21.5475,17091.3881,17094.1815,17094.4919,17078.9732,32.46,32.8098,34.9034,32.2041
20000.0,1200.0,4,31.5608,67961.4304,67971.1907,67972.2752,53034.5292,71.2579,71.6743,79.0353,70.1568
20000.0,1200.0,8,43.558,134301.0316,135779.9422,135781.6422,88693.1511,71.5806,72.0125,278.9831,70.5596
