输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,500.0,1,35.7752,538.9921,539.1879,539.2096,538.1218,26.9741,27.2404,27.9842,26.9292
2048.0,500.0,4,110.8266,2023.7606,2025.1141,2025.2645,1673.313,32.5554,32.7056,33.7385,32.1089
2048.0,500.0,8,205.9859,3942.8261,3944.7795,3945.0623,3542.9587,31.4589,31.6454,33.5449,31.0101
4096.0,500.0,1,33.7136,1070.3239,1070.3926,1070.4002,1070.0186,27.7987,27.9011,28.898,27.5773
4096.0,500.0,4,89.2357,4046.1135,4047.4796,4047.6314,3347.2007,37.2644,37.4429,39.1585,36.807
4096.0,500.0,8,154.6177,8027.8536,8028.6638,8028.7688,6025.2724,36.2019,36.4834,39.4586,35.7498
8192.0,500.0,1,28.3752,2166.5099,2167.0793,2167.1426,2163.9791,31.1509,31.6121,32.4398,30.9753
8192.0,500.0,4,61.9038,8341.3523,8354.7736,8356.2648,5874.5943,48.5402,49.4409,51.8479,48.016
8192.0,500.0,8,99.8816,15580.5245,16567.0143,16567.972,10306.7757,47.5233,48.5584,53.6855,47.0465
12000.0,1200.0,1,28.5924,3247.1945,3248.6041,3248.7607,3240.9298,32.5609,33.0747,35.4451,32.3005
12000.0,1200.0,4,58.7897,12697.4731,12701.7181,12702.1898,8105.1985,58.609,59.1239,63.8106,57.5004
12000.0,1200.0,8,102.7716,23960.4411,25464.6185,25467.2525,14523.4858,57.7757,58.3296,66.9292,56.6637
16000.0,1200.0,1,26.825,4439.705,4440.451,4440.5339,4436.3896,33.8722,34.3333,35.812,33.6102
16000.0,1200.0,4,49.2756,17468.654,17474.9437,17475.6426,11153.0354,67.7902,68.3186,74.0925,66.6654
16000.0,1200.0,8,84.241,32924.9429,35035.3458,35061.6516,19958.4786,66.953,67.5728,78.6901,65.8603
20000.0,1200.0,1,25.1784,5811.0847,5819.6208,5820.5692,5773.1465,35.1963,35.5777,37.6508,34.9355
20000.0,1200.0,4,42.276,22615.9854,22622.4613,22623.1809,14439.3438,76.9342,77.5068,84.933,75.8291
20000.0,1200.0,8,70.9898,42499.2234,45145.7679,45149.156,25760.8876,76.1286,76.8063,290.6236,75.1263
