输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
2048.0,1200.0,1,22.089,376.2178,377.807,377.9836,369.1547,45.8489,46.2312,46.9505,45.0016
2048.0,1200.0,4,85.9593,1144.0726,1145.9074,1146.1113,1073.0183,46.4667,46.9198,48.4107,45.6191
2048.0,1200.0,8,158.7229,2041.5697,2042.9894,2043.1436,1953.2566,50.1071,50.6275,53.4087,48.7456
4096.0,1200.0,1,20.285,645.555,646.7587,646.8924,640.2052,49.6511,50.0374,51.0299,48.8049
4096.0,1200.0,4,77.3084,2201.3601,2203.5786,2203.8251,2069.0735,51.1098,51.6274,53.9751,49.9479
4096.0,1200.0,8,143.528,4260.8479,4263.195,4263.3666,3848.3407,53.119,53.6004,57.4621,52.227
8192.0,1200.0,1,9.0561,1413.578,1415.413,1415.6169,1405.4223,110.2151,111.6139,113.8177,109.3396
8192.0,1200.0,4,35.0789,4984.5365,4990.0886,4990.7055,4258.6466,110.8936,112.2752,113.6211,109.9607
8192.0,1200.0,8,66.8505,9454.9189,9692.1121,9697.191,7147.8208,112.4957,114.0026,119.268,111.6863
12000.0,1200.0,1,9.1047,2153.889,2154.2678,2154.3099,2152.2053,108.9553,110.3167,111.2975,108.1282
12000.0,1200.0,4,34.3051,8012.3439,8029.2513,8031.1299,6071.8126,110.8392,112.3325,114.915,110.0028
12000.0,1200.0,8,64.3333,15569.6169,15912.6361,15922.4916,10186.3506,112.1577,113.623,120.8824,111.1877
16000.0,1200.0,1,9.0449,3054.7321,3055.2689,3055.3285,3052.3465,108.9359,110.2323,111.8795,108.1033
16000.0,1200.0,4,33.417,11645.1092,11656.0892,11657.3092,8821.9959,110.7918,112.3473,353.6509,110.0757
16000.0,1200.0,8,61.3807,22601.3342,23084.7884,23098.0109,14778.0341,112.1745,114.0796,340.8791,111.1967
20000.0,1200.0,1,8.9141,4307.7565,4324.1658,4325.989,4234.8266,109.8121,111.079,113.301,108.742
20000.0,1200.0,4,32.3433,15888.0422,15919.242,15922.7086,12112.849,111.6871,113.231,119.839,110.5054
20000.0,1200.0,8,58.075,30979.444,31606.4568,31631.2731,20289.4699,112.3394,113.9966,126.4834,111.5354
