输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,235.7273,39.0736,39.9318,40.0271,34.9136,4.5251,7.9108,31.6436,4.2056
512.0,1024.0,4,931.1251,120.1805,121.0921,121.1947,63.9418,4.5995,7.2578,28.9081,4.2261
512.0,1024.0,8,1438.389,164.381,165.601,165.7558,95.784,5.8912,9.6001,13.2887,5.4589
512.0,1024.0,16,3214.9477,178.974,181.2952,181.6437,119.482,5.5353,7.6554,30.3461,4.8487
512.0,1024.0,24,5080.7586,186.9401,189.7738,190.439,134.2088,4.9876,8.3404,18.8246,4.5783
512.0,1024.0,32,3849.2138,264.2612,266.4966,267.0241,184.6774,8.7757,15.3916,27.0463,8.1166
512.0,1024.0,40,7391.6702,219.6046,258.445,268.3152,177.2624,5.7739,8.1917,24.134,5.2025
512.0,1024.0,50,8257.7749,421.4238,441.9052,516.9142,227.3013,6.4631,7.8395,32.0511,5.757
512.0,1024.0,64,9564.94,315.6429,390.0916,395.9471,237.6168,7.109,8.6782,700.2358,6.3646
512.0,1024.0,72,10159.7494,348.2275,520.9975,564.7179,259.002,7.5944,8.8031,25.388,6.713
512.0,1024.0,96,11322.1288,530.1879,694.8344,882.0822,356.0996,9.0795,12.9243,36.561,7.9178
512.0,1024.0,112,11790.3573,643.6168,815.0719,1008.4953,417.0433,10.2543,14.1569,34.3106,8.8391
