输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,134.3689,46.8776,49.1347,49.3854,41.7754,7.5285,10.3143,1397.6027,7.4024
512.0,1024.0,4,468.0286,84.9533,196.0872,196.186,78.3093,8.8527,12.357,22.6583,8.456
512.0,1024.0,8,816.4706,2736.0424,2737.2931,2737.3984,560.0689,9.6407,13.057,23.9271,9.1849
512.0,1024.0,16,1392.5425,303.9733,306.4247,306.7015,162.9761,11.6958,14.1827,24.4781,11.3233
512.0,1024.0,24,1954.0613,259.398,262.6468,263.3831,169.4322,13.0452,14.5923,28.4563,12.1116
512.0,1024.0,32,2370.0043,296.6268,301.4058,303.0873,206.3508,13.7043,16.3101,36.0467,13.2929
512.0,1024.0,40,2637.7837,1950.5933,1962.2828,1982.9413,591.7474,15.3494,17.2526,37.7666,14.5521
512.0,1024.0,50,2807.6598,549.0466,567.6045,596.4922,344.8023,18.1665,20.4637,42.4424,17.4245
512.0,1024.0,64,3803.6095,350.6085,2810.7118,2822.8497,478.5126,16.9683,19.5976,37.4472,16.0244
512.0,1024.0,72,4037.4826,489.2659,614.8092,628.5009,328.5606,18.3569,21.7261,44.7798,17.4251
512.0,1024.0,96,4713.2135,705.6159,764.3692,767.6049,478.5795,20.8626,23.3804,49.0728,19.7719
512.0,1024.0,112,5137.1416,701.561,763.3781,1091.6412,477.7119,22.5957,26.0353,42.8153,21.1101
512.0,1024.0,128,5340.4422,2029.4273,2162.7335,4704.4528,822.7865,24.0539,31.6801,48.6235,22.4714
512.0,1024.0,156,6065.1047,902.5947,1090.6212,1165.5449,657.545,26.3754,30.325,55.9413,24.8742
512.0,1024.0,200,7191.3461,1354.7383,1709.7234,1810.7945,800.1641,29.9909,33.6131,61.594,26.5584
512.0,1024.0,256,8140.6206,1816.6396,2433.178,2552.5752,1116.2726,34.0774,44.0518,1505.2478,29.7212
