输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
512.0,1024.0,1,57.1143,62.7141,73.4501,74.6429,48.9376,17.9083,19.325,35.0971,17.4764
512.0,1024.0,4,224.6702,163.5064,164.2333,164.326,79.6894,18.1259,18.9962,33.1944,17.7315
512.0,1024.0,8,440.3804,245.998,247.1144,247.2819,110.8512,18.577,24.2048,44.1356,18.06
512.0,1024.0,16,867.525,414.7212,416.8752,417.0928,172.8918,18.6649,19.6668,34.3295,18.277
512.0,1024.0,24,1200.5838,569.4102,573.773,575.2883,239.422,20.2992,21.8854,46.314,19.7491
512.0,1024.0,32,1598.0606,757.1584,761.6419,762.0434,299.2748,20.3121,22.4115,39.2963,19.7142
512.0,1024.0,40,1899.6285,808.4187,941.3049,952.219,324.7158,21.6287,24.7333,56.3943,20.6844
512.0,1024.0,50,2291.2892,992.5693,1115.3082,1128.4954,392.1882,22.2775,24.5137,470.1363,21.3425
512.0,1024.0,64,2844.3991,819.6093,1393.5109,1404.0707,436.1687,22.9952,25.0501,39.347,21.9632
512.0,1024.0,72,2784.3635,1471.6073,1561.0705,1580.2563,457.1528,26.7416,28.3994,55.1035,25.2804
512.0,1024.0,96,3689.1808,1575.6876,2078.2378,2101.8442,584.1298,27.046,29.7936,56.8608,25.1961
512.0,1024.0,112,4131.3393,1652.9339,2265.4113,2290.8188,667.3146,28.4206,31.8113,263.6019,26.1659
512.0,1024.0,128,4586.5446,1358.7832,2472.9464,2487.1047,681.4257,29.2659,35.1645,277.0859,26.8713
512.0,1024.0,156,4026.1465,2286.4062,3016.5457,3163.6659,886.6141,39.8556,42.6599,64.6518,37.4849
512.0,1024.0,200,5029.9314,2345.1881,3699.2974,3747.4436,1049.7284,41.4201,46.0707,61.8943,38.1109
512.0,1024.0,256,5819.4176,2989.3877,4909.6435,4912.132,1315.6592,45.97,55.2392,77.5303,41.8784
1024.0,1024.0,1,58.3743,80.5532,99.2128,101.2861,55.4318,17.782,18.9929,50.6182,17.0921
1024.0,1024.0,4,231.8363,149.4332,247.1692,247.2459,90.2855,17.4533,18.4019,34.5379,17.1652
1024.0,1024.0,8,449.2232,402.9165,403.8708,403.9683,142.4206,17.9871,18.6954,35.3899,17.6647
1024.0,1024.0,16,854.5495,791.9796,794.8409,794.9708,257.9798,18.9058,19.8788,31.0057,18.4654
1024.0,1024.0,24,1205.4603,821.7607,1105.7696,1110.5029,330.3734,20.1399,21.3676,45.1283,19.5377
1024.0,1024.0,32,1557.1523,904.3206,1414.4746,1415.2085,499.2741,21.0251,22.9166,38.8532,19.9783
1024.0,1024.0,40,1775.3668,1589.7233,1783.9226,1784.4983,450.6083,22.889,24.1023,42.1069,21.9526
1024.0,1024.0,50,2137.5972,1569.4045,2151.2371,2161.5437,551.1491,23.5332,24.8899,40.8736,22.6627
1024.0,1024.0,64,2614.0556,1597.2615,2683.5954,2703.9227,606.5675,24.8523,26.3198,42.1563,23.6447
1024.0,1024.0,72,2585.0816,2294.1591,2962.4631,3058.3958,650.8531,28.3524,29.9506,368.5219,26.9387
1024.0,1024.0,96,3383.9015,2369.4422,4246.6606,4322.4938,857.7049,28.5085,31.9922,61.4359,26.886
1024.0,1024.0,112,3829.0973,2980.8037,4355.1739,4465.1261,1012.1685,29.7137,32.0429,63.4284,27.7004
1024.0,1024.0,128,4193.3623,3035.7237,5000.4865,5034.1149,1046.5469,31.0255,38.2484,55.0826,28.7952
1024.0,1024.0,156,3744.6144,3709.888,5823.2738,5976.2544,1277.8443,41.9277,45.3501,321.9431,39.6585
1024.0,1024.0,200,4592.5621,4471.5135,7262.5749,7447.0703,1607.8706,43.8507,46.7674,69.1654,40.8979
1024.0,1024.0,256,5388.929,5326.4385,9379.33,9383.3017,2059.4233,47.8322,59.2151,312.4449,44.0096
4096.0,1024.0,1,58.7199,235.3622,330.8721,341.4843,124.4858,17.109,17.7096,35.7415,16.9239
4096.0,1024.0,4,226.0379,785.6054,787.1435,787.3931,219.0154,17.6841,18.3949,37.821,17.4637
4096.0,1024.0,8,425.1037,1175.3097,1550.1102,1550.2795,359.2527,18.7052,19.4917,30.9792,18.3929
4096.0,1024.0,16,791.3525,1983.9622,3087.7111,3088.097,605.2499,19.9228,21.3318,41.9963,19.4151
4096.0,1024.0,24,1062.6534,2726.2267,4565.3171,4566.0817,832.1247,21.9719,22.972,44.5158,21.4299
4096.0,1024.0,32,1345.9366,3023.2259,5691.4986,5704.0204,981.8121,23.0794,24.069,43.7858,22.3638
4096.0,1024.0,40,1471.0621,4422.5426,7174.5281,7175.5996,1225.223,26.1739,27.5336,47.9763,25.3949
4096.0,1024.0,50,1763.6117,4947.3209,8589.0743,8674.4899,1364.4394,27.1222,29.1327,51.7468,26.1546
