输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）
4096.0,1024.0,1,140.6413,131.9195,167.7128,171.6898,89.3488,7.7173,11.3828,32.6293,7.0247
4096.0,1024.0,4,535.3996,317.5158,318.912,319.1724,162.4062,7.9432,11.7443,15.783,7.2983
4096.0,1024.0,8,1021.8864,419.6116,558.1241,558.2737,237.8369,8.0984,12.1397,20.391,7.5677
4096.0,1024.0,16,1887.3319,673.837,964.6364,964.8745,362.3315,8.4639,12.8177,25.6213,8.0608
4096.0,1024.0,24,2408.6205,970.2382,1375.5052,1386.0342,587.0514,10.2454,14.8567,25.3037,9.2875
4096.0,1024.0,32,3059.4785,1150.5684,1770.4483,1817.9206,604.5947,10.4449,15.2716,33.8037,9.7196
4096.0,1024.0,40,3339.163,1379.8732,2059.7995,2062.193,628.0077,11.9983,20.7062,28.7049,11.1237
4096.0,1024.0,50,3818.838,1562.8904,2568.5196,2596.0311,753.2618,13.9832,24.4378,41.2844,12.0076
4096.0,1024.0,64,4236.1239,1783.8304,3568.5529,3670.8339,877.4712,16.7705,30.7328,60.4058,13.6848
4096.0,1024.0,72,4569.1043,1786.3447,2973.8143,3045.3493,895.8705,16.9753,29.2989,47.6658,14.3516
