输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）,Unnamed: 12,Unnamed: 13,Unnamed: 14
512.0,1024.0,5.0,261.8019,285.759,286.0693,286.1028,122.1201,19.1832,19.3422,23.9764,18.9784,,,
512.0,1024.0,10.0,481.2944,521.0139,521.7041,521.7787,202.6489,20.917,21.1053,23.092,20.5684,,,
512.0,1024.0,15.0,684.484,736.118,736.9509,737.1127,303.3947,22.1954,22.3752,24.9286,21.6179,,,
512.0,1024.0,20.0,860.2427,964.1432,965.6574,965.7636,401.1775,23.5712,23.809,26.8609,22.8594,,,
512.0,1024.0,25.0,1011.5,1040.7044,1042.3619,1042.6511,444.4336,25.1861,25.4862,28.6873,24.2864,,,
512.0,1024.0,30.0,1185.6879,1299.5367,1301.1559,1301.3651,539.7585,25.7039,26.0325,32.7296,24.777,,,
512.0,1024.0,35.0,1328.8977,1337.9681,1581.4921,1581.7539,577.9377,26.6204,26.9678,32.922,25.7097,,,
512.0,1024.0,40.0,1462.2019,1383.9835,1637.4234,1637.6514,596.807,27.7691,28.2143,37.8291,26.6922,,,
512.0,1024.0,48.0,1593.6822,1387.3321,1992.278,1992.6757,646.5791,30.525,30.9371,37.2318,29.3171,,,
512.0,1024.0,64.0,1757.2249,2532.096,2985.5559,2985.952,884.5904,36.8875,37.4173,163.9008,35.2521,,,
512.0,1024.0,96.0,2331.6326,3774.7878,4034.6702,4035.261,1199.86,41.8833,42.8788,67.5782,39.5315,,,
512.0,1024.0,128.0,2596.7103,3854.4024,4878.6594,4916.0542,1421.3272,50.6972,52.1923,62.3119,47.3158,,,
512.0,1024.0,160.0,2734.1632,5046.7971,5999.4742,6000.9018,1716.0376,60.1697,61.4797,158.1433,56.0639,,,
512.0,1024.0,192.0,2953.618,5085.5426,6609.8409,6610.6419,1832.773,67.1858,69.2259,113.1295,62.3227,,,
512.0,1024.0,224.0,3051.3789,6214.9312,8318.7302,8320.4583,2181.0491,76.1521,79.83,92.6244,70.0574,,,
512.0,1024.0,256.0,3169.2287,6398.3314,8565.744,8605.097,2391.1651,84.0248,89.8928,111.413,77.1922,,,
512.0,1024.0,320.0,3320.9645,8867.5796,11228.1384,11230.3675,2950.0132,100.4955,106.0691,126.855,91.8268,,,
512.0,1024.0,384.0,3410.9297,10290.0722,12819.63,13037.4593,3477.0697,117.5038,124.6482,154.4824,107.2474,,,
512.0,1024.0,448.0,3416.7284,11463.2151,14603.8461,14606.5096,3907.2358,136.9128,146.4136,181.0402,125.165,,,
512.0,1024.0,512.0,3466.0511,12970.1963,15824.5002,15983.3817,4371.4961,154.8285,167.3347,212.2311,141.1915,,,
1024.0,1024.0,5.0,258.0897,400.5365,400.8616,400.9042,159.9161,19.4049,19.5067,20.637,19.2131,,,
1024.0,1024.0,10.0,469.8026,902.6556,903.3098,903.3407,333.9238,21.297,21.4115,23.2438,20.9498,,,
1024.0,1024.0,15.0,661.9276,1120.8268,1121.6207,1121.6514,428.3033,22.7838,22.9726,26.6369,22.2382,,,
1024.0,1024.0,20.0,821.5323,1371.1623,1791.2538,1791.3955,567.7048,24.3922,24.6405,28.1465,23.6851,,,
1024.0,1024.0,25.0,954.0296,2300.8224,2302.7657,2302.9975,705.9747,26.2739,26.5703,29.8075,25.3619,,,
1024.0,1024.0,30.0,1120.71,2434.5999,2436.9864,2437.0303,748.957,26.7787,27.1368,32.261,25.8717,,,
1024.0,1024.0,35.0,1252.8002,2597.8713,3140.5931,3140.8886,863.6471,27.6873,28.0374,34.2024,26.787,,,
1024.0,1024.0,40.0,1368.1416,2613.9348,3437.6928,3437.9286,916.179,29.036,29.3449,36.5333,27.9816,,,
1024.0,1024.0,48.0,1493.9364,3625.4527,3628.7256,3628.8526,1023.6706,31.9474,32.3335,39.9531,30.7719,,,
1024.0,1024.0,64.0,1639.4937,4923.394,5274.4336,5275.2591,1325.0871,38.7552,39.2432,45.6733,37.1163,,,
1024.0,1024.0,96.0,2133.6878,6289.7679,7272.532,7274.2981,1777.7122,44.6403,45.4079,52.0831,42.2767,,,
1024.0,1024.0,128.0,2328.9213,7543.1508,10542.8077,10544.1006,2371.0047,54.4747,57.1111,68.3634,51.1541,,,
1024.0,1024.0,160.0,2472.7688,8825.3935,11059.8641,11061.271,2520.1162,64.5758,65.6411,112.7584,60.5953,,,
1024.0,1024.0,192.0,2623.1879,11310.6702,14398.5654,14400.5245,3194.8482,72.7593,74.4135,99.8078,67.9273,,,
1024.0,1024.0,224.0,2716.3219,11439.1642,15246.5875,15422.6248,3499.787,82.607,88.6345,108.2205,76.7765,,,
1024.0,1024.0,256.0,2797.2659,13828.2367,18455.6503,18458.1072,4009.2389,91.3219,97.7335,115.3289,84.7859,,,
1024.0,1024.0,320.0,2916.7001,17341.4839,22375.9706,22826.6066,4993.3345,109.5517,118.684,150.4353,101.4208,,,
1024.0,1024.0,384.0,2987.7151,20184.5894,26533.8398,26761.8272,5853.625,128.5318,139.0017,167.1601,118.8028,,,
1024.0,1024.0,448.0,2991.5294,22884.7214,30102.0565,30258.2441,6805.5302,150.0226,162.8503,196.8264,138.7593,,,
1024.0,1024.0,512.0,3036.9709,25396.0743,34183.6034,34188.1601,7563.4258,168.9471,183.6729,225.0865,156.1766,,,
2048.0,1024.0,5.0,249.7679,748.0153,903.8956,903.9255,272.8232,19.8897,20.0647,25.4279,19.6887,,,
2048.0,1024.0,10.0,446.8258,1473.7129,1546.1268,1575.5933,521.7142,22.1736,22.3229,25.861,21.8156,,,
2048.0,1024.0,15.0,610.9909,2705.0736,2754.7686,2793.2927,774.1082,24.1129,24.3059,27.4621,23.5731,,,
2048.0,1024.0,20.0,749.394,2803.3504,3631.8376,3631.9073,941.5613,26.1242,26.3543,29.9671,25.4182,,,
2048.0,1024.0,25.0,859.4143,3952.7159,4307.2522,4307.6029,1086.2431,28.4936,28.7856,33.0611,27.578,,,
2048.0,1024.0,30.0,1006.0432,3520.1044,4985.5953,4985.7199,1140.9553,28.9829,29.3086,36.4354,28.0729,,,
2048.0,1024.0,35.0,1122.3115,5202.1468,6434.9003,6478.435,1496.9759,29.8314,30.1167,38.5766,28.9324,,,
2048.0,1024.0,40.0,1215.4767,5203.2067,6858.1596,6858.5391,1478.6301,31.5641,31.8761,39.5472,30.5083,,,
2048.0,1024.0,48.0,1320.8516,6414.0814,7736.8418,7802.5031,1723.6983,34.8113,35.278,43.0209,33.6171,,延时,3s
2048.0,1024.0,64.0,1422.051,8860.9256,11333.7762,11439.92,2366.2344,42.678,43.1568,47.6024,41.0213,,单用户速度约束,15 tokens/s
