model,backend,input_len,output_len,parallel_num,epochs,num_prompts,n_success,n_failed,avg_input_tokens,avg_output_tokens,throughput_req_s,throughput_tok_s,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,e2el_mean_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,duration_s
qwen-7,openai,128,128,1,3,3,3,0,128,128,0.271,34.6899,97.0998,99.8795,105.8765,107.2258,28.2861,28.205,28.4033,28.4479,3689.4377,3689.4144,3695.925,3697.3899,11.0695
qwen-7,openai,128,128,4,3,12,12,0,128,128,1.0144,129.8417,146.718,138.2451,207.66,249.5324,29.5073,29.2743,31.0826,31.4028,3894.1408,3849.3895,4096.6797,4143.9279,11.8298
qwen-7,openai,128,128,8,3,24,24,0,128,128,2.0022,256.2854,174.4894,187.0823,206.5607,254.2578,29.3764,29.2429,29.6215,31.1803,3905.2931,3912.8394,3941.1648,4152.745,11.9866
qwen-7,openai,128,128,16,3,48,48,0,128,128,3.7944,485.6792,248.3522,231.4765,361.5946,362.2842,30.4157,30.1515,31.7307,32.6562,4111.1502,4087.5672,4192.158,4476.0172,12.6503
qwen-7,openai,512,256,1,3,3,3,0,512,256,0.1363,34.9022,209.9449,133.5956,318.4769,360.0752,27.9391,28.2173,28.2844,28.2995,7334.4108,7329.0162,7344.4714,7347.9488,22.0044
qwen-7,openai,512,256,4,3,12,12,0,512,256,0.517,132.3619,218.837,223.8159,279.902,280.8027,29.4694,29.3498,29.762,30.0006,7733.5464,7758.1474,7764.743,7792.5098,23.2091
qwen-7,openai,512,256,8,3,24,24,0,512,256,0.9672,247.6144,276.5235,189.7621,282.256,1197.9187,30.6243,30.4727,31.5016,34.2275,8085.7089,8013.787,8680.6403,9086.484,24.8128
qwen-7,openai,512,256,16,3,48,48,0,512,256,1.8499,473.5671,491.2508,273.4563,946.4673,1148.805,31.61,31.3942,32.8687,34.6313,8551.7905,8541.0353,8965.4079,9293.5212,25.9477
qwen-7,openai,1024,512,1,3,3,3,0,1024,512,0.0677,34.6642,151.6399,153.1546,153.2295,153.2463,28.6072,28.3315,29.0426,29.2026,14769.9032,14625.9252,14992.9856,15075.5742,44.3108
qwen-7,openai,1024,512,4,3,12,12,0,1024,512,0.2586,132.4281,269.0293,283.0566,353.8258,354.0014,29.7272,29.6439,30.0026,30.0278,15459.6368,15494.8508,15500.1325,15501.987,46.395
qwen-7,openai,1024,512,8,3,24,24,0,1024,512,0.5068,259.4593,352.4288,327.4969,629.7509,659.7864,30.176,30.0959,30.5188,30.7996,15772.3625,15795.3255,15963.9336,15993.3919,47.36
qwen-7,openai,1024,512,16,3,48,48,0,1024,512,0.8728,446.8868,682.8819,321.7448,1524.9844,2612.516,33.0155,33.0331,34.6335,35.5096,17553.7791,17585.1945,18414.5544,19741.3656,54.9938
qwen-7,openai,2048,512,1,3,3,3,0,2048,512,0.0677,34.6704,344.4767,267.5982,472.9962,519.2108,28.2246,28.3898,28.4315,28.4408,14767.2598,14751.7291,14791.4661,14800.407,44.3029
qwen-7,openai,2048,512,4,3,12,12,0,2048,512,0.2494,127.7112,421.9769,383.6994,658.9315,676.8791,30.4066,30.3186,30.8758,30.8861,15959.7266,16028.7439,16217.4493,16272.8601,48.1086
qwen-7,openai,2048,512,8,3,24,24,0,2048,512,0.4743,242.8581,495.0473,344.5277,1105.3616,1329.3206,31.6497,31.73,32.4539,32.809,16668.0567,16571.6525,17243.1331,17421.0511,50.5974
qwen-7,openai,2048,512,16,3,48,48,0,2048,512,0.8122,415.8631,1296.6988,570.5779,2975.0213,3421.5497,35.7477,35.661,38.324,40.8598,19563.7773,19625.4847,21609.4645,21771.0453,59.0964
